rank,movie,year,genre,rating,num_reviews
88,Labirynt,2013,Thriller,"7,81",248 555 
89,Siedmiu samurajów,1954,Dramat,"7,81",72 778 
90,Koneser,2013,Dramat,"7,81",149 852 
91,Requiem dla snu,2000,Dramat,"7,81",670 382 
92,Jak wytresować smoka,2010,Animacja/Familijny/Fantasy/Przygodowy,"7,81",299 200 
93,Przerwana lekcja muzyki,1999,Biograficzny/Dramat/Psychologiczny,"7,81",239 418 
94,Klaus,2019,Animacja/Komedia/Przygodowy/Świąteczny,"7,81",51 627 
95,Żywot Briana,1979,Komedia,"7,80",181 783 
96,Filadelfia,1993,Dramat,"7,80",285 151 
97,Księżniczka Mononoke,1997,Fantasy/Przygodowy/Anime,"7,80",83 637 
98,Wszystko za życie,2007,Biograficzny/Dramat/Przygodowy,"7,80",260 956 
99,Ruchomy zamek Hauru,2004,Fantasy/Anime,"7,80",106 238 
100,Jak rozpętałem drugą wojnę światową,1969,Komedia/Przygodowy/Wojenny,"7,80",274 315 
